classifier;iteration;precision;recall;AUC;kappa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;1;0,06557377;0,043478261;0,1796875;-0,421822072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;1;NaN;0;0,51953125;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;1;NaN;0;0,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;1;NaN;0;0,33648947;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;1;NaN;0;0,638629416;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;1;NaN;0;0,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;1;NaN;0;0,568783967;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;1;NaN;0;0,613408628;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;1;NaN;0;0,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;1;NaN;0;0,33648947;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;1;NaN;0;0,638629416;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;1;NaN;0;0,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;1;NaN;0;0,472953465;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;1;NaN;0;0,634595788;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;1;NaN;0;0,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;2;0,218855219;0,955882353;0,719952796;5,20E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;2;0,321428571;0,132352941;0,548505205;0,068719287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;2;0,47826087;0,161764706;0,668905834;0,14753903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;2;0,220735786;0,970588235;0,738441055;0,005280851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;2;0,318181818;0,205882353;0,600641491;0,094425957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;2;0,4;0,176470588;0,670055677;0,12819153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;2;0,220394737;0,985294118;0,744704672;0,004438586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;2;0,421052632;0,352941176;0,60869039;0,230569033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;2;0,442307692;0,338235294;0,652535706;0,239156308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;2;0,509803922;0,382352941;0,754690148;0,307119343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;2;0,30952381;0,382352941;0,587024933;0,132448114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;2;0,342105263;0,382352941;0,640492617;0,16941477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;2;0,220735786;0,970588235;0,736262406;0,005280851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;2;0,29787234;0,205882353;0,596163157;0,078847922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;2;0,404761905;0,25;0,653746066;0,170608464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;3;0;0;0,750403644;-0,06744186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;3;0,40625;0,224137931;0,666214969;0,196002534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
