Version,File Name,LOC,LOC_added,LOC_deleted,LOC_modified,NAuth,NR,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_churn,...,...,...,...,Buggy
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,15,1,0,0,2,1,1,1.0,0,0,0.0,15,15,15,15,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,166,224,0,0,5,12,189,18.666666666666668,229,150,19.083333333333332,166,166,166,166,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,46,758,0,0,4,9,688,84.22222222222223,683,675,75.88888888888889,46,46,46,46,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,26,15,0,0,3,3,8,5.0,7,5,2.3333333333333335,26,26,26,26,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,8,1,0,0,2,1,1,1.0,0,0,0.0,8,8,8,8,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,10,3,0,0,2,1,3,3.0,0,0,0.0,10,10,10,10,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,142,238,0,0,13,19,77,12.526315789473685,174,68,9.157894736842104,142,142,142,142,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,99,2,0,0,2,1,2,2.0,1,1,1.0,99,99,99,99,yes
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,66,1,0,0,2,1,1,1.0,0,0,0.0,66,66,66,66,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,113,17,0,0,4,5,10,3.4,32,18,6.4,113,113,113,113,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,20,9,0,0,2,1,9,9.0,7,7,7.0,20,20,20,20,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,55,53,0,0,4,9,39,5.888888888888889,6,2,0.6666666666666666,55,55,55,55,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,156,52,0,0,2,2,50,26.0,1,1,0.5,156,156,156,156,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,48,414,0,0,10,16,257,25.875,680,243,42.5,48,48,48,48,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,52,66,0,0,4,7,43,9.428571428571429,34,27,4.857142857142857,52,52,52,52,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,29,7,0,0,3,2,6,3.5,14,14,7.0,29,29,29,29,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,33,16,0,0,4,4,11,4.0,22,12,5.5,33,33,33,33,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,44,4,0,0,2,1,4,4.0,0,0,0.0,44,44,44,44,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,417,3362,0,0,44,146,798,23.027397260273972,3540,285,24.246575342465754,417,417,417,417,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,33,0,0,0,1,0,0,0.0,0,0,0.0,33,33,33,33,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,53,40,0,0,4,6,18,6.666666666666667,9,5,1.5,53,53,53,53,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,132,82,0,0,8,12,47,6.833333333333333,181,61,15.083333333333334,132,132,132,132,yes
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,14,1,0,0,2,1,1,1.0,0,0,0.0,14,14,14,14,yes
