classifier;iteration;precision;recall;RC;kappa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;1;NaN;0;0,283113991;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;1;NaN;0;0,502227171;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;1;NaN;0;0,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;1;NaN;0;0,63115003;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;1;NaN;0;0,779307552;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;1;NaN;0;0,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;1;NaN;0;0,638023891;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;1;NaN;0;0,728133225;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;1;NaN;0;0,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;1;NaN;0;0,63115003;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;1;NaN;0;0,779307552;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;1;NaN;0;0,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;1;NaN;0;0,629641628;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;1;NaN;0;0,792792063;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;1;NaN;0;0,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;2;0,178571429;0,108695652;0,75354251;0,105004057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;2;0,222222222;0,086956522;0,637508801;0,102541847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;2;0,5;0,02173913;0,685453705;0,038100631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;2;0,189189189;0,152173913;0,757712111;0,134339586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;2;0,176470588;0,065217391;0,631413924;0,07298122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;2;0,5;0,02173913;0,693858916;0,038100631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;2;0,226415094;0,260869565;0,749636948;0,204533798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;2;0,133333333;0,086956522;0,56256601;0,072694661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;2;0,083333333;0,02173913;0,679820894;0,01637562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;2;0,24;0,260869565;0,75666696;0,213555311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;2;0,096551724;0,608695652;0,683440415;0,097348664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;2;0,116731518;0,652173913;0,775919732;0,132556325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;2;0,195121951;0,173913043;0,75465367;0,148191122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;2;0,166666667;0,065217391;0,630929854;0,070489771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;2;0,25;0,02173913;0,67527724;0,033117743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;3;0,178571429;0,102040816;0,788330717;0,099687765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;3;0,4;0,040816327;0,750140885;0,066102052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;3;1;0,020408163;0,6575796;0,038226646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;3;0,170731707;0,142857143;0,783349434;0,118535329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;3;0;0;0,732570543;-0,010159476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;3;NaN;0;0,649146641;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;3;0,211538462;0,224489796;0,780209717;0,178845571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;3;0,1875;0,06122449;0,62367669;0,071230767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;3;0,3;0,06122449;0,705752123;0,087435412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;3;0,220338983;0,265306122;0,774222115;0,200473299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;3;0,093959732;0,571428571;0,657086503;0,089278301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;3;0,115942029;0,489795918;0,758171316;0,122052716;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;3;0,2;0,183673469;0,782051282;0,15415864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;3;0;0;0,731866119;-0,013108833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;3;1;0,040816327;0,674848046;0,075087472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;4;0,303030303;0,120481928;0,824253805;0,1336333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;4;0,285714286;0,024096386;0,808276315;0,032605451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;4;1;0,012048193;0,705724131;0,021977525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;4;0,325581395;0,168674699;0,819500223;0,178087637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;4;0,333333333;0,036144578;0,810333928;0,050603771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;4;0;0;0,684404284;-0,005519106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;4;0,31147541;0,228915663;0,811870941;0,211320648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;4;0,315789474;0,072289157;0,725959393;0,091004825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;4;0,181818182;0,024096386;0,697760177;0,024593195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;4;0,307692308;0,289156627;0,803826417;0,240218728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;4;0,185328185;0,578313253;0,693496207;0,183395424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;4;0,270114943;0,56626506;0,801818385;0,290137089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;4;0,333333333;0,192771084;0,81650057;0,19803896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;4;0,333333333;0,036144578;0,810333928;0,050603771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;4;0,25;0,012048193;0,730781149;0,015869009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
