Index;Version ID;Version Name;Date
0;12313216;3.0.0;2008-10-27
1;12313500;3.0.1;2008-12-04
2;12313381;3.1.0;2009-02-13
3;12313649;3.1.1;2009-03-27
4;12314394;3.1.2;2009-12-14
5;12313491;3.2.0;2009-07-08
6;12314068;3.2.1;2009-09-04
7;12314335;3.2.2;2009-12-14
8;12313976;3.3.0;2010-03-25
9;12314846;3.3.1;2010-05-17
10;12315108;3.3.2;2010-11-11
11;12315482;3.3.3;2011-02-27
12;12316276;3.3.4;2011-11-26
13;12314469;3.4.0;2011-11-22
14;12318650;3.4.1;2011-12-16
15;12319196;3.4.2;2011-12-29
16;12319288;3.4.3;2012-02-13
17;12319081;3.3.5;2012-03-20
18;12320172;3.3.6;2012-08-02
19;12319841;3.4.4;2012-09-23
20;12348201;3.5.9;2021-01-14
21;12349434;3.5.10;2022-06-04
22;12321883;3.4.5;2012-11-18
23;12323310;3.4.6;2014-03-10
24;12325149;3.4.7;2015-12-03
25;12326517;3.4.8;2016-02-22
26;12334700;3.4.9;2016-09-03
27;12338036;3.4.10;2017-03-30
28;12316644;3.5.0;2014-08-04
29;12326786;3.5.1;2015-09-02
30;12331981;3.5.2;2016-07-21
31;12335444;3.5.3;2017-04-17
32;12339207;3.4.11;2017-11-09
33;12340141;3.5.4;2018-05-17
34;12348703;3.6.3;2021-04-13
35;12346617;3.7.0;2021-03-27
36;12342040;3.4.12;2018-05-01
37;12342973;3.4.13;2018-07-17
38;12343268;3.5.5;2019-05-20
39;12343587;3.4.14;2019-04-02
40;12345243;3.5.6;2019-10-17
41;12346098;3.5.7;2020-02-14
42;12346764;3.6.1;2020-04-30
43;12346950;3.5.8;2020-05-11
44;12347809;3.6.2;2020-09-09
45;12349587;3.8.0;2022-03-07
46;12350030;3.7.1;2022-05-12
47;12351398;3.8.1;2023-01-30
